label	accession	organism	protein	clade	source	note	status
PsrAPhsASrrA_Wells_011	GeopsychroelectPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GeopsychroelectPsrA	OK
PsrAPhsASrrA_Wells_012	HalobinitratPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalobinitratPsrA	OK
PsrAPhsASrrA_Wells_013	HelicocanadPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HelicocanadPsrA	OK
PsrAPhsASrrA_Wells_014	JejupallPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=JejupallPsrA	OK
PsrAPhsASrrA_Wells_015	MangrovimarinPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MangrovimarinPsrA	OK
PsrAPhsASrrA_Wells_016	MoorthermPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MoorthermPsrA	OK
PsrAPhsASrrA_Wells_017	ProlixidenitrPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ProlixidenitrPsrA	OK
PsrAPhsASrrA_Wells_018	PyroarsenPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PyroarsenPsrA	OK
PsrAPhsASrrA_Wells_019	SalmonbongPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SalmonbongPsrA	OK
PsrAPhsASrrA_Wells_020	ShewanoneiPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ShewanoneiPsrA	OK
PsrAPhsASrrA_Wells_021	SulfurosparsenPsrA2	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfurosparsenPsrA2	OK
PsrAPhsASrrA_Wells_022	SunxelliptPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SunxelliptPsrA	OK
PsrAPhsASrrA_Wells_023	ThermofipenPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermofipenPsrA	OK
PsrAPhsASrrA_Wells_024	ThermusscotPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermusscotPsrA	OK
PsrAPhsASrrA_Wells_025	WolinsuccPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=WolinsuccPsrA	OK
TtrASrdA_Wells_001	AchromarsenTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AchromarsenTtrA	OK
TtrASrdA_Wells_002	AliiviwodanTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AliiviwodanTtrA	OK
TtrASrdA_Wells_003	AromaromaTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AromaromaTtrA	OK
TtrASrdA_Wells_004	BacilselenaTtrA1	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BacilselenaTtrA1	OK
TtrASrdA_Wells_005	ButtiagaviTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ButtiagaviTtrA	OK
TtrASrdA_Wells_006	CampyshowTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CampyshowTtrA	OK
TtrASrdA_Wells_007	Citrofreund1TtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Citrofreund1TtrA	OK
TtrASrdA_Wells_008	DeferridesulfTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DeferridesulfTtrA	OK
TtrASrdA_Wells_009	DesulfoacidTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfoacidTtrA	OK
TtrASrdA_Wells_010	DesulfuriindiTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfuriindiTtrA	OK
TtrASrdA_Wells_011	Eschercoli1TtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Eschercoli1TtrA	OK
TtrASrdA_Wells_012	HalanaerosulfTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalanaerosulfTtrA	OK
TtrASrdA_Wells_013	HalomonalkaliTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalomonalkaliTtrA	OK
TtrASrdA_Wells_014	HalorutropTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalorutropTtrA	OK
TtrASrdA_Wells_015	LecleradecarTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=LecleradecarTtrA	OK
TtrASrdA_Wells_016	MoellwiscTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MoellwiscTtrA	OK
TtrASrdA_Wells_017	OryzipropTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=OryzipropTtrA	OK
TtrASrdA_Wells_018	PlasticiacidTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PlasticiacidTtrA	OK
TtrASrdA_Wells_019	PseudodongxiamTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PseudodongxiamTtrA	OK
TtrASrdA_Wells_020	RaoulornithTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RaoulornithTtrA	OK
TtrASrdA_Wells_021	ShewanalgaTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ShewanalgaTtrA	OK
TtrASrdA_Wells_022	ThalassobaccyriTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThalassobaccyriTtrA	OK
TtrASrdA_Wells_023	ThermogutterriTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermogutterriTtrA	OK
TtrASrdA_Wells_024	ThiohalomondenitrTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiohalomondenitrTtrA	OK
TtrASrdA_Wells_025	YokeneregenTtrA	Wells_et_al_reference	TtrASrdA	TtrASrdA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=YokeneregenTtrA	OK
bSreASoeA_Wells_001	AcidicryptbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcidicryptbSreA	OK
bSreASoeA_Wells_002	AfipiafelisbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AfipiafelisbSreA	OK
bSreASoeA_Wells_003	AquifexaeolibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AquifexaeolibSreA	OK
bSreASoeA_Wells_004	Burkcenoce1bSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Burkcenoce1bSreA	OK
bSreASoeA_Wells_005	CabalglatheibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CabalglatheibSreA	OK
bSreASoeA_Wells_006	DankookrubrabSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DankookrubrabSreA	OK
bSreASoeA_Wells_007	FerriphasamnibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FerriphasamnibSreA	OK
bSreASoeA_Wells_008	HerminarsenibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HerminarsenibSreA	OK
bSreASoeA_Wells_009	KilolaminabSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=KilolaminabSreA	OK
bSreASoeA_Wells_010	MagnetospircaucabSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MagnetospircaucabSreA	OK
bSreASoeA_Wells_011	MesorhizoaustralbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MesorhizoaustralbSreA	OK
bSreASoeA_Wells_012	MethylibipetrobSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MethylibipetrobSreA	OK
bSreASoeA_Wells_013	OceanibacnanhaibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=OceanibacnanhaibSreA	OK
bSreASoeA_Wells_014	ParaburkferrabSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ParaburkferrabSreA	OK
bSreASoeA_Wells_015	ParalureibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ParalureibSreA	OK
bSreASoeA_Wells_016	PseudorhodofersolibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PseudorhodofersolibSreA	OK
bSreASoeA_Wells_017	SideroxlithobSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SideroxlithobSreA	OK
bSreASoeA_Wells_018	SulfuriceldenitribSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfuriceldenitribSreA	OK
bSreASoeA_Wells_019	SulfurisomsediminibSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfurisomsediminibSreA	OK
bSreASoeA_Wells_020	ThermocrinminerbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermocrinminerbSreA	OK
bSreASoeA_Wells_021	ThioalksulfidbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThioalksulfidbSreA	OK
bSreASoeA_Wells_022	ThiocaproseobSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiocaproseobSreA	OK
bSreASoeA_Wells_023	ThiohalomondenitrbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiohalomondenitrbSreA	OK
bSreASoeA_Wells_024	ThiothrlacusbSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiothrlacusbSreA	OK
bSreASoeA_Wells_025	VermineeisebSreA	Wells_et_al_reference	bSreASoeA	bSreASoeA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=VermineeisebSreA	OK
aSreA_Wells_001	AcidiaambivaaSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcidiaambivaaSreA	OK
aSreA_Wells_002	AcidiamanzaeaSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcidiamanzaeaSreA	OK
aSreA_Wells_003	AremensulfuraSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AremensulfuraSreA	OK
aSreA_Wells_004	Hippealvi1aSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Hippealvi1aSreA	OK
aSreA_Wells_005	HippejasonaSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HippejasonaSreA	OK
aSreA_Wells_006	HippemariaSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HippemariaSreA	OK
aSreA_Wells_007	SulfoloislanaSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfoloislanaSreA	OK
aSreA_Wells_008	SulfurisphaohwakuaSreA	Wells_et_al_reference	aSreA	aSreA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfurisphaohwakuaSreA	OK
ArrAArxA_Wells_001	ActinophytxinjianArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ActinophytxinjianArrA	OK
ArrAArxA_Wells_002	AlkaliphilmetalArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AlkaliphilmetalArrA	OK
ArrAArxA_Wells_003	AlkalispiroodontoArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AlkalispiroodontoArrA	OK
ArrAArxA_Wells_004	AnaerobrancalifArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AnaerobrancalifArrA	OK
ArrAArxA_Wells_005	BaciloryziArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BaciloryziArrA	OK
ArrAArxA_Wells_006	DesulfitodichlorArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfitodichlorArrA	OK
ArrAArxA_Wells_007	DesulfofusglycoArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfofusglycoArrA	OK
ArrAArxA_Wells_008	DesulfonatronospthioArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfonatronospthioArrA	OK
ArrAArxA_Wells_009	DesulfopilaestArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfopilaestArrA	OK
ArrAArxA_Wells_010	DesulfoverhaloArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfoverhaloArrA	OK
ArrAArxA_Wells_011	DesulfuriindiArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfuriindiArrA	OK
ArrAArxA_Wells_012	DesulfurstibArrA1	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfurstibArrA1	OK
ArrAArxA_Wells_013	FerrisediArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FerrisediArrA	OK
ArrAArxA_Wells_014	GeobacuranArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GeobacuranArrA	OK
ArrAArxA_Wells_015	HalobinitratArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalobinitratArrA	OK
ArrAArxA_Wells_016	HalorhodhaloArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalorhodhaloArrA	OK
ArrAArxA_Wells_017	MarinospcelereArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MarinospcelereArrA	OK
ArrAArxA_Wells_018	NatronogregArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=NatronogregArrA	OK
ArrAArxA_Wells_019	PhotobacgangArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PhotobacgangArrA	OK
ArrAArxA_Wells_020	SelenihalshriftArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SelenihalshriftArrA	OK
ArrAArxA_Wells_021	ShewanputreArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ShewanputreArrA	OK
ArrAArxA_Wells_022	SulfurospmultiArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfurospmultiArrA	OK
ArrAArxA_Wells_023	ThioalkparaArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThioalkparaArrA	OK
ArrAArxA_Wells_024	ThiocaproseaArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiocaproseaArrA	OK
ArrAArxA_Wells_025	WolinsuccArrA	Wells_et_al_reference	ArrAArxA	ArrAArxA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=WolinsuccArrA	OK
NapA_Wells_001	AcetonemlongNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcetonemlongNapA	OK
NapA_Wells_002	AgarialbusNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AgarialbusNapA	OK
NapA_Wells_003	ArcoanaeroNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ArcoanaeroNapA	OK
NapA_Wells_004	AzoatoluclasNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AzoatoluclasNapA	OK
NapA_Wells_005	BosealathyNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BosealathyNapA	OK
NapA_Wells_006	CaminibacmediatlanNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CaminibacmediatlanNapA	OK
NapA_Wells_007	CitropasteurNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CitropasteurNapA	OK
NapA_Wells_008	DeferridesulfNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DeferridesulfNapA	OK
NapA_Wells_009	DesulfovfairNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfovfairNapA	OK
NapA_Wells_010	EnterorhabcaecNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=EnterorhabcaecNapA	OK
